Simulation Time Point,Cells,Contacts,Hours,Log(Cells)
0,1,,,
10,5,6,0.006103,0.698970004
20,10,16,0.006209,1
30,16,27,0.006307,1.204119983
40,24,47,0.006398,1.380211242
50,41,82,0.006551,1.612783857
60,62,136,0.006717,1.79239169
70,87,213,0.006892,1.939519253
80,130,333,0.007098,2.113943352
90,189,505,0.007349,2.276461804
100,260,714,0.007644,2.414973348
110,361,1017,0.008046,2.557507202
120,472,1382,0.008521,2.673941999
130,611,1836,0.009095,2.78604121
140,811,2480,0.009795,2.909020854
150,1015,3266,0.010643,3.006466042
160,1287,4314,0.011658,3.109578547
170,1623,5436,0.012877,3.21031852
180,2032,6900,0.014278,3.307923704
190,2524,8742,0.016043,3.402089351
200,3061,10811,0.018093,3.48586333
210,3712,13257,0.020553,3.569607968
220,4453,16248,0.023411,3.648652695
230,5330,19764,0.026789,3.726727209
240,6289,23623,0.03066,3.798581595
250,7363,28077,0.035208,3.867054801
260,8623,33267,0.040539,3.935658386
270,10001,38939,0.046841,4.000043427
280,11478,45499,0.05372,4.05986622
290,13125,52740,0.06144,4.118099312
300,14908,60737,0.070575,4.173419384
310,16739,69235,0.081256,4.223729509
320,18682,78595,0.092845,4.271423368
330,20656,88182,0.106177,4.315046225
340,22640,98106,0.119923,4.354876423
350,24662,108412,0.135946,4.392028293
360,26685,118697,0.154558,4.426267207
370,28595,129040,0.172206,4.456290101
380,30444,139161,0.193049,4.483501713
390,32284,149015,0.215388,4.508987339
400,34084,158582,0.239401,4.532550557
410,35857,167791,0.263837,4.554573951
420,37572,176905,0.289594,4.574864314
430,39262,185831,0.318548,4.593972419
440,41029,194847,0.347898,4.613090932
450,42710,203845,0.380392,4.630529571
460,44411,212842,0.412121,4.647490552
470,46164,221711,0.445941,4.664303432
480,47849,230689,0.477582,4.679872866
490,49545,239693,0.514939,4.694999833
500,51208,248540,0.550752,4.709337814
510,52892,257498,0.59253,4.723389989
520,54525,266351,0.632707,4.736595674
530,56191,275126,0.674146,4.749666761
540,57818,283803,0.723046,4.762063065
550,59463,292419,0.769842,4.774246816
560,61080,300981,0.822979,4.785899028
570,62715,309493,0.866185,4.797371427
580,64425,318288,0.913951,4.809054427
590,66082,326874,0.961813,4.820083179
600,67772,335709,1.012821,4.831050302
610,69495,344806,1.070823,4.841953559
620,71225,353694,1.132154,4.852632458
630,72925,362539,1.194708,4.862876438
640,74634,371534,1.25147,4.872936718
650,76283,380418,1.31525,4.882427764
660,77991,389214,1.386945,4.892044489
670,79755,398162,1.465681,4.901757919
680,81457,407034,1.547767,4.910928411
690,83150,415979,1.620831,4.919862254
700,84837,424983,1.692334,4.928585303
710,86491,433875,1.770133,4.936970918
720,88196,442784,1.837654,4.945448889
730,89829,451360,1.908734,4.953416565
740,91504,460019,2.00334,4.961440079
750,93143,468628,2.094016,4.969150222
760,94826,477324,2.183072,4.976927431
770,96448,486105,2.295394,4.984293226
780,98113,494817,2.381549,4.991726555
790,99808,503716,2.463343,4.999165353
800,101469,512232,2.554617,5.00633338
810,103153,520980,2.660487,5.013481863
820,104853,529860,2.758789,5.020580861
830,106577,539041,2.871632,5.027663491
840,108313,547997,2.993945,5.034680585
850,110078,556990,3.121414,5.04170053
860,111784,565802,3.244216,5.048379646
870,113495,574880,3.380751,5.054976729
880,115237,583928,3.509876,5.061591944
890,116928,592845,3.610378,5.067918521
900,118652,601828,3.722393,5.074275063
940,125509,637597,4.233476,5.098674869
950,127200,646481,4.348813,5.104487111
960,128940,655695,4.5255,5.110387666
970,130630,664420,4.68078,5.116042927
980,132252,673166,4.853996,5.121402248
990,133922,681939,4.992447,5.126851927
1000,135538,690750,5.134889,5.132061073
1010,137152,699419,5.33684,5.137202145
1020,138777,707775,5.511421,5.142317495
1030,140422,716234,5.674388,5.147435154
1040,142032,724960,5.879207,5.152386203
1050,143671,733475,6.067433,5.157369115
1060,145245,742094,6.242233,5.162101191
1070,146929,751025,6.437385,5.167107523
1080,148488,759373,6.583161,5.171691358
