iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,10,5,cells,6,contacts,0.006103,hour(s),or,0.366174,minute(s),or,21.970428,second(s)
,10,5,cells,6,cts,4,iterations,residual,=,0.000054,,,
,10,5,cells,7,cts,2,iterations,residual,=,0.000119,,,
,20,10,cells,16,contacts,0.006209,hour(s),or,0.372565,minute(s),or,22.353926,second(s)
,20,10,cells,16,cts,5,iterations,residual,=,0.000145,,,
,20,10,cells,17,cts,2,iterations,residual,=,0.000053,,,
,30,16,cells,27,contacts,0.006307,hour(s),or,0.378424,minute(s),or,22.705429,second(s)
,30,17,cells,30,cts,4,iterations,residual,=,0.000321,,,
,30,17,cells,31,cts,2,iterations,residual,=,0.00036,,,
,30,17,cells,32,cts,2,iterations,residual,=,0.000096,,,
,30,17,cells,33,cts,0,iterations,residual,=,0.000364,,,
,40,24,cells,47,contacts,0.006398,hour(s),or,0.383895,minute(s),or,23.033695,second(s)
,40,26,cells,49,cts,6,iterations,residual,=,0.000354,,,
,40,26,cells,53,cts,3,iterations,residual,=,0.000535,,,
,40,26,cells,54,cts,3,iterations,residual,=,0.000499,,,
,50,41,cells,82,contacts,0.006551,hour(s),or,0.393032,minute(s),or,23.581921,second(s)
,50,44,cells,82,cts,5,iterations,residual,=,0.000683,,,
,50,44,cells,86,cts,2,iterations,residual,=,0.000339,,,
,50,44,cells,87,cts,1,iterations,residual,=,0.000427,,,
,60,62,cells,136,contacts,0.006717,hour(s),or,0.403046,minute(s),or,24.182732,second(s)
