Time in hours,Log(cells)
0.001993,0.6989700043
0.00206,0.9542425094
0.002135,1.1760912591
0.002244,1.3802112417
0.002355,1.591064607
0.002481,1.7634279936
0.002649,1.9590413923
0.002832,2.1172712957
0.003082,2.2810333672
0.003399,2.4048337166
0.003801,2.5415792439
0.004281,2.6693168806
0.004869,2.776701184
0.005571,2.8870543781
0.006434,2.9978230807
0.007438,3.1041455506
0.008647,3.1997551773
0.010089,3.2944662262
0.011834,3.3868555292
0.013858,3.4736329269
0.016347,3.559906625
0.019152,3.6360865151
0.022579,3.7139942677
0.026539,3.7873187566
0.031203,3.8569100603
0.036266,3.9228810912
0.042324,3.9869955397
0.049356,4.0501863497
0.057279,4.1072438976
0.065927,4.1607685619
0.075793,4.2116277232
0.087461,4.2585893976
0.100926,4.3015508366
0.11438,4.3408207367
0.130516,4.3775976261
0.146795,4.4117711776
0.165524,4.4434663931
0.18588,4.4728587962
0.210147,4.5003737144
0.234321,4.5260030861
0.258966,4.5491504555
0.284649,4.5710329958
0.313483,4.5917433575
0.346211,4.6111601654
0.375335,4.6298986695
0.405877,4.6476274365
0.43922,4.6649520752
0.480214,4.6816391583
0.517954,4.6972555043
0.558792,4.7127086135
0.602685,4.7269145752
0.640185,4.7411437168
0.686888,4.7547763024
0.732042,4.7678012601
0.784224,4.7805405239
0.840378,4.7928747485
0.892721,4.8052697167
0.9427,4.8168508734
1.004146,4.8283956311
1.058671,4.8394403357
1.119853,4.85054209
1.171103,4.8611698567
1.239881,4.871386102
1.315881,4.8817155304
1.384834,4.8917213946
1.447871,4.9013820271
1.512488,4.9110296995
1.586574,4.9203164191
1.689316,4.9290866911
1.776485,4.9378988609
1.866372,4.9464031339
1.96079,4.9546765869
2.051687,4.9629420183
2.133829,4.9710670031
2.233325,4.9788968998
2.321635,4.9868075509
2.439795,4.9942071351
2.5252,5.0017899425
2.621758,5.0090172348
2.714139,5.0161722491
2.824739,5.0229642065
2.929613,5.0296394085
3.045564,5.036517114
3.139896,5.0428353027
3.266676,5.0492451652
3.391686,5.055783382
3.512242,5.0621644096
3.643315,5.0683565764
